scheme,lat,lon
CHI-karekök,52.538408926353,-2.1148943346310465
CHI-karekök,52.61136626824762,-2.1128998039945186
CHI-karekök,52.5948004132898,-2.096420272951049
CHI-karekök,52.47634022061677,-2.0829041046093812
CHI-karekök,52.51095738188215,-2.0829823826812075
CHI-karekök,52.565460269778086,-2.0814298318779634
CHI-karekök,52.53918907661163,-2.0653832851592115
CHI-karekök,52.44934878210339,-2.053453713257489
CHI-karekök,52.602197188876055,-2.053032589835013
CHI-karekök,52.47586605528618,-2.0391837774691863
CHI-karekök,52.52971503089532,-2.037018927241667
CHI-karekök,52.57473699273744,-2.039427477478137
CHI-karekök,52.49335575029284,-2.024318942994011
CHI-karekök,52.395776090384594,-2.0084258971304
CHI-karekök,52.55661735357843,-2.009124605975868
CHI-karekök,52.61284941866664,-2.0072983476999644
CHI-karekök,52.4343764211375,-1.9951319365540852
CHI-karekök,52.457970857052075,-1.995219271366437
CHI-karekök,52.51993606811643,-1.9946910311439425
CHI-karekök,52.40348726806765,-1.9786948369065256
CHI-karekök,52.486118456901906,-1.9790670422620509
CHI-karekök,52.54728814878043,-1.9794163955298514
CHI-karekök,52.58467242775047,-1.9809182473466984
CHI-karekök,52.610757678606475,-1.9819845750660783
CHI-karekök,52.43239551345188,-1.9660331219485525
CHI-karekök,52.45025026743188,-1.945348427965864
CHI-karekök,52.48591581346259,-1.948827398698809
CHI-karekök,52.40483051847434,-1.9326684092396338
CHI-karekök,52.503538279728616,-1.9355407692604927
CHI-karekök,52.53858769400235,-1.9344032317035107
CHI-karekök,52.6282533672078,-1.9326084897776183
CHI-karekök,52.47554710431989,-1.9180202831259903
CHI-karekök,52.43094855278231,-1.905534339557657
CHI-karekök,52.49440587326065,-1.9059281174509453
CHI-karekök,52.458046607563396,-1.8907603155352943
CHI-karekök,52.476721758875655,-1.8939772052913117
CHI-karekök,52.51167864661755,-1.8909090012561465
CHI-karekök,52.54727876499938,-1.8900880891944813
CHI-karekök,52.41257002572994,-1.8746358634977194
CHI-karekök,52.457597140278466,-1.8636372018296414
CHI-karekök,52.49289896875787,-1.8577246305688127
CHI-karekök,52.5396950622818,-1.8624091093906132
CHI-karekök,52.4403522889926,-1.8468531939014687
CHI-karekök,52.47633390189027,-1.8470995462548938
CHI-karekök,52.52162441291327,-1.8454257614005836
CHI-karekök,52.40615731344693,-1.831955453752699
CHI-karekök,52.44105975108273,-1.8185146207516598
CHI-karekök,52.46752270878546,-1.8172191491756773
CHI-karekök,52.49459918752851,-1.8183480937773755
CHI-karekök,52.56595409016156,-1.8168668581212641
CHI-karekök,52.52047703580967,-1.8016404709741434
CHI-karekök,52.45823050254271,-1.7877344199694187
CHI-karekök,52.484903741076295,-1.7899512547084155
CHI-karekök,52.41363378522334,-1.7782275441873234
CHI-karekök,52.37788023650239,-1.7565303334540965
CHI-karekök,52.50234515849317,-1.7583438706835852
CHI-karekök,52.476991019775404,-1.7419528593799427
CHI-karekök,52.45054276036598,-1.7298480854681293
CHI-karekök,52.40447782762583,-1.5824176895679947
