scheme,lat,lon
Tekdüze (sayım),41.924039267252425,-87.66880412759242
Tekdüze (sayım),42.01372156553959,-87.67045897433313
Tekdüze (sayım),41.71628266581009,-87.65565759036892
Tekdüze (sayım),41.734797299540645,-87.65518995396212
Tekdüze (sayım),41.75234146594007,-87.65496993528235
Tekdüze (sayım),41.79611788889186,-87.65533651952138
Tekdüze (sayım),41.86809178910585,-87.65804153136384
Tekdüze (sayım),41.88647458298079,-87.65588534308621
Tekdüze (sayım),41.94178327560164,-87.65539785802208
Tekdüze (sayım),41.96762089205945,-87.65731169774438
Tekdüze (sayım),41.97697251574764,-87.65744766373788
Tekdüze (sayım),41.99476148396258,-87.65882404846458
Tekdüze (sayım),41.76182831030734,-87.64372343825865
Tekdüze (sayım),41.77882387650729,-87.64461483377514
Tekdüze (sayım),41.83442033565123,-87.64507305078394
Tekdüze (sayım),41.878686000295616,-87.64412794786337
Tekdüze (sayım),41.91452926263259,-87.64604064465952
Tekdüze (sayım),41.932921856160995,-87.64518938380203
Tekdüze (sayım),41.95062245550575,-87.64774565004588
Tekdüze (sayım),41.67257129552263,-87.63084943756309
Tekdüze (sayım),41.68972059714646,-87.63101017317207
Tekdüze (sayım),41.71670582897593,-87.63094443890226
Tekdüze (sayım),41.7357834780413,-87.62883118254062
Tekdüze (sayım),41.75219547568742,-87.63201402962217
Tekdüze (sayım),41.816236998325365,-87.63149299163108
Tekdüze (sayım),41.852831393609506,-87.6310928111075
Tekdüze (sayım),41.87029562772949,-87.6299732949671
Tekdüze (sayım),41.87920660413168,-87.63009943228747
Tekdüze (sayım),41.887426188480205,-87.6305146568518
Tekdüze (sayım),41.89545297530616,-87.63150650573355
Tekdüze (sayım),41.904988175386045,-87.632705517233
Tekdüze (sayım),41.76988458385621,-87.6201751420092
Tekdüze (sayım),41.78873077478551,-87.62062818014556
Tekdüze (sayım),41.80732818261286,-87.61975122733682
Tekdüze (sayım),41.83275579175853,-87.61849013291784
Tekdüze (sayım),41.895485034750415,-87.62287872903778
Tekdüze (sayım),41.65563237869753,-87.60526870450794
Tekdüze (sayım),41.698615149536344,-87.6101141497728
Tekdüze (sayım),41.726321227185935,-87.60646410748203
Tekdüze (sayım),41.744731435963764,-87.60479244499956
Tekdüze (sayım),41.76112468612463,-87.60873975339614
Tekdüze (sayım),41.78021566460381,-87.60818445579727
Tekdüze (sayım),41.8067422128103,-87.60728382270572
Tekdüze (sayım),41.824175930245374,-87.60838813672201
Tekdüze (sayım),41.73491845735766,-87.58421714124053
Tekdüze (sayım),41.75301682343608,-87.58338542373717
Tekdüze (sayım),41.77083408446488,-87.58450236698262
Tekdüze (sayım),41.79756253723404,-87.58508010639554
Tekdüze (sayım),41.7170895579861,-87.56969540545627
Tekdüze (sayım),41.76993255349497,-87.57182281361295
Tekdüze (sayım),41.7533950091289,-87.56058887686804
Tekdüze (sayım),41.65405947143992,-87.54683349474347
Tekdüze (sayım),41.735008510377234,-87.5481588256353
Tekdüze (sayım),41.70038758037919,-87.53546718914382
CHI-karekök,41.976682080930644,-87.90354038139965
CHI-karekök,41.97722598128983,-87.83984853906883
CHI-karekök,41.94059251002481,-87.81389031523722
CHI-karekök,41.923234241729176,-87.78854886585205
CHI-karekök,41.98472766885611,-87.78995447846461
CHI-karekök,41.788968030425465,-87.77776794149239
CHI-karekök,41.95002376537996,-87.77863281203099
CHI-karekök,41.88646226911023,-87.7653468975412
CHI-karekök,41.9057030098011,-87.7653530011964
CHI-karekök,41.93184321500109,-87.76588857740566
CHI-karekök,41.968847238820466,-87.76517462421931
CHI-karekök,41.87894186632485,-87.75295433898975
CHI-karekök,41.89589517199181,-87.75376883724283
CHI-karekök,41.79760347320964,-87.73961291219315
CHI-karekök,41.91244891244732,-87.7428233379845
CHI-karekök,41.93201596159951,-87.74201671292927
CHI-karekök,41.95147851755121,-87.74384796189442
CHI-karekök,41.752383328811725,-87.72775584136129
CHI-karekök,41.77927391401375,-87.72748678996021
CHI-karekök,41.806097477880314,-87.72707382543535
CHI-karekök,41.84234255075992,-87.72783839788745
CHI-karekök,41.86010533043172,-87.72830586367843
CHI-karekök,41.8785730870809,-87.72824199186613
CHI-karekök,41.90439283278756,-87.72895711708699
CHI-karekök,41.86894202553928,-87.71777957647218
CHI-karekök,41.89571455576606,-87.71738815589806
CHI-karekök,41.91426556348221,-87.71674888862283
CHI-karekök,41.933074735222036,-87.71803440886416
CHI-karekök,41.96799319343922,-87.71779685237915
CHI-karekök,41.98521150772191,-87.71535011090245
CHI-karekök,41.69834084970851,-87.70149286671251
CHI-karekök,41.74304888328845,-87.70423837088171
CHI-karekök,41.77909291210723,-87.70287333259937
CHI-karekök,41.79637616276651,-87.70382521192941
CHI-karekök,41.85090456944814,-87.70495538599913
CHI-karekök,41.86068062697527,-87.70713055291847
CHI-karekök,41.879214619471114,-87.70491001102461
CHI-karekök,41.95011960987644,-87.70610699796103
CHI-karekök,41.77078071220113,-87.69030183956308
CHI-karekök,41.80757010795256,-87.69185175451358
CHI-karekök,41.822984929992764,-87.69240649469435
CHI-karekök,41.870016191118516,-87.69474658443686
CHI-karekök,41.90487830135501,-87.69328782296341
